,Step,Value
1624954027,1463910,30.42571259
1624954036,1466910,29.66575241
1624954039,1467810,29.52936554
1624954042,1468810,31.08423424
1624954068,1478010,31.30110931
1624954071,1478910,30.69604683
1624954072,1479310,30.86948776
1624954077,1481010,29.98600197
1624954096,1487410,30.21170235
1624954101,1489310,29.27010155
1624954141,1502810,30.29119682
1624954159,1509110,31.05661583
1624954172,1513710,30.37470818
1624954185,1518110,30.19290352
1624954209,1526710,28.45637131
1624954226,1532510,30.26390266
1624954269,1547410,30.57873344
1624954269,1547610,29.3499012
1624954278,1550810,29.62746239
1624954287,1553910,29.63824844
1624954304,1559810,30.01353264
1624954346,1574110,30.06365013
1624954353,1576510,31.23346329
1624954355,1577410,30.22015381
1624954371,1582910,31.31957054
1624954414,1598010,31.52941513
1624954419,1599410,29.2279377
1624954448,1609610,30.78099632
1624954454,1611710,30.66952515
1624954492,1625010,30.92136192
1624954513,1632210,31.17246056
1624954520,1634410,30.28101349
1624954525,1636110,30.07785797
1624954538,1640710,29.72762489
1624954548,1644110,31.15650177
1624954567,1650610,29.46664238
1624954590,1658610,31.48137665
1624954612,1666210,30.13658333
1624954622,1669810,30.65547562
1624954654,1680910,28.84215927
1624954655,1681010,29.91604996
1624954665,1684410,30.47470856
1624954669,1685810,30.40806198
1624954681,1690010,30.88547516
1624954729,1706710,30.40344429
1624954738,1709810,30.24238396
1624954748,1713210,30.7408886
1624954779,1724010,30.92167091
1624954789,1727310,29.64352798
1624954794,1729110,31.07965469
1624954794,1729310,30.21179581
1624954801,1731710,28.95892334
1624954801,1731810,29.9497261
1624954802,1732110,30.36669159
1624954808,1734010,30.04970169
1624954818,1737510,29.74150658
1624954827,1740610,29.28388596
1624954838,1744510,30.09406853
1624954841,1745510,31.19536591
1624954867,1754410,30.69199371
1624954871,1755810,30.85176468
1624954880,1758710,29.30101013
1624954882,1759510,30.78151512
1624954891,1762410,30.28900909
1624954919,1772310,31.3998127
1624954986,1795410,30.45343781
1624954994,1798210,30.18764114
1624954997,1799110,29.98788834
1624955004,1801910,30.57769012
1624955014,1805410,32.10546112
1624955018,1806610,31.65394592
1624955036,1813010,31.10945129
1624955075,1826510,30.01535225
1624955091,1831910,29.78636169
1624955130,1845210,31.2478981
1624955130,1845310,30.544384
1624955171,1859310,31.34937096
1624955206,1871410,29.88464737
1624955208,1872110,29.9456501
1624955244,1884610,28.86511612
1624955278,1895910,29.78544998
1624955284,1897810,30.09163094
1624955292,1900610,30.77963829
1624955298,1902810,30.59758949
1624955304,1904910,30.13337326
1624955324,1911710,30.3781662
1624955340,1917010,29.71496201
1624955357,1922810,31.58973312
1624955370,1927210,30.53574944
1624955432,1948610,27.37112045
1624955437,1950410,27.65824509
1624955443,1952610,28.03642464
1624955445,1953210,28.90355492
1624955477,1964110,30.10387993
1624955481,1965510,30.58854485
1624955484,1966610,30.57084274
1624955500,1972110,30.62818336
1624955503,1973210,30.35127068
1624955505,1973810,31.22645187
1624955522,1979710,30.63522911
1624955530,1982410,30.57252121
1624955537,1984710,30.01145935
1624955557,1991710,31.15600204
1624955563,1993910,30.49716187
1624955573,1997210,30.90032196
1624955580,1999610,31.09120178
1624955591,2003610,31.5312748
1624955597,2005410,30.43804741
1624955598,2006010,29.50621223
1624955599,2006310,30.06524467
1624955621,2013910,29.25022125
1624955621,2014010,29.66721153
1624955635,2018710,30.35626411
1624955643,2021810,28.3350563
1624955651,2024510,30.41584396
1624955652,2024810,30.61954117
1624955654,2025310,30.60368156
1624955675,2032410,31.66916084
1624955678,2033510,30.15180779
1624955692,2038410,29.63766098
1624955708,2044110,30.5934124
1624955721,2048610,31.53544235
1624955733,2052710,31.42417526
1624955737,2054010,29.83317375
1624955737,2054110,29.97501755
1624955743,2056310,30.27570724
1624955748,2057910,30.91228867
1624955780,2069010,30.44347191
1624955786,2071110,31.10158539
1624955806,2078010,30.9065094
1624955807,2078310,31.55283928
1624955807,2078410,30.93329048
1624955821,2083210,30.73722076
1624955828,2085610,31.47241211
1624955866,2098810,28.56757164
1624955889,2106810,30.34264755
1624955894,2108110,29.28445244
1624955912,2114510,30.16428566
1624955931,2121010,30.31633377
1624955938,2123310,29.66265678
1624955962,2131710,28.69236565
1624955963,2132010,29.79919243
1624955964,2132510,28.37211227
1624955983,2139210,30.71380615
1624955988,2141010,30.85980606
1624956011,2148510,30.17510605
1624956022,2152410,29.93890953
1624956068,2168210,31.2567234
1624956080,2172410,30.32743645
1624956080,2172510,31.51497459
1624956099,2179010,27.79962921
1624956101,2179610,30.15343475
1624956108,2182210,30.55606842
1624956115,2184310,29.48509598
1624956116,2184910,29.65752792
1624956162,2200710,29.49666214
1624956231,2224610,30.85000801
1624956235,2225910,30.67261314
1624956246,2229310,29.91897774
1624956252,2231710,30.38391685
1624956257,2233110,31.41803551
1624956265,2235910,30.28131866
1624956298,2247310,30.65712738
1624956308,2250810,28.31046295
1624956318,2254510,29.52421379
1624956345,2263610,30.84863663
1624956383,2276610,30.56982613
1624956405,2284110,29.59050369
1624956430,2293110,30.9242897
1624956431,2293410,30.16272736
1624956474,2308110,29.77933311
1624956475,2308510,30.55694199
1624956487,2312810,29.78324127
1624956491,2313910,30.60100937
1624956493,2314910,29.4012413
1624956503,2318310,29.83651543
1624956506,2319310,30.42229271
1624956513,2321910,28.90382004
1624956527,2326410,29.27645493
1624956533,2328710,31.45846748
1624956548,2333810,30.65586853
1624956556,2336210,30.2839489
1624956561,2338110,31.28064346
1624956574,2342810,28.65923882
1624956608,2354110,31.65671539
1624956622,2359010,31.34388924
1624956646,2367110,31.58925438
1624956649,2368210,29.84942627
1624956655,2370210,32.35832977
1624956676,2377510,29.46436119
1624956692,2383210,30.53290558
1624956723,2393910,29.84988213
1624956765,2408010,29.70819092
1624956776,2411910,31.12745476
1624956785,2414810,30.05847931
1624956810,2423510,31.34286118
1624956824,2428310,30.83156395
1624956825,2428510,31.85510826
1624956836,2432310,31.34020233
1624956843,2434610,30.77297783
1624956863,2441710,30.8992939
1624956904,2455810,31.65826416
1624956923,2462210,29.91736984
1624956951,2472010,31.28642845
1624956953,2472810,31.14519691
1624956998,2488010,31.87203026
1624957004,2490210,30.55346489
1624957014,2493510,29.78071594
1624957035,2500910,31.85632324
1624957047,2504810,31.90229797
1624957072,2513410,30.73923492
1624957093,2520710,30.87344742
1624957100,2523210,31.52078819
1624957104,2524510,32.22342682
1624957107,2525410,28.70205116
1624957129,2533310,29.52969551
1624957147,2539210,30.58050346
1624957180,2550610,30.46278
1624957184,2552110,31.70681763
1624957207,2560010,31.14398956
1624957233,2568710,31.43026543
1624957259,2577610,29.67725182
1624957270,2581310,30.98134041
1624957279,2584810,31.29309273
1624957301,2592210,31.15406609
1624957336,2604610,31.41420174
1624957342,2606710,31.51156616
1624957345,2607610,31.60400581
1624957350,2609210,30.40330124
1624957369,2615510,31.377985
1624957369,2615610,31.26149559
1624957373,2617010,30.42102242
1624957409,2629310,30.04228401
1624957412,2630410,31.61408615
1624957441,2640410,32.08390045
1624957461,2647110,29.77750015
1624957519,2667110,30.68682861
1624957555,2679810,30.43543625
1624957555,2679910,30.41183662
1624957564,2682810,32.37304688
1624957564,2683010,31.67040634
1624957593,2692910,31.05998421
1624957636,2707910,30.811306
1624957655,2714310,31.33740616
1624957656,2714910,30.69710159
1624957658,2715510,30.85366821
1624957659,2715910,32.47207642
1624957660,2716010,31.89689064
1624957693,2727510,30.89931297
1624957709,2733010,31.84630775
1624957743,2745010,31.54102135
1624957760,2750610,31.83238983
1624957788,2760410,32.4536705
1624957790,2761410,31.60745239
1624957792,2762110,30.79787636
1624957797,2763910,31.41107368
1624957814,2769610,30.93924141
1624957827,2774010,31.27861214
1624957852,2782610,31.25482368
1624957878,2791710,31.72665405
1624957879,2791910,31.62305069
1624957888,2795110,31.23631859
1624957893,2796910,32.19712448
1624957975,2825210,31.67874146
1624957982,2827810,28.31306267
1624957995,2832210,30.42669678
1624958011,2837710,32.05022812
1624958029,2843910,31.84552574
1624958033,2845210,32.27261353
1624958059,2854410,32.8299675
1624958068,2857310,30.20124054
1624958079,2861210,29.79442596
1624958160,2889210,30.5923748
1624958183,2897110,31.40585709
1624958190,2899710,31.68212128
1624958196,2901910,31.15216064
1624958202,2903810,31.50715256
1624958209,2906310,32.29564667
1624958214,2907910,33.07172775
1624958218,2909110,32.01179504
1624958230,2913410,31.26469994
1624958250,2920210,32.39781189
1624958267,2926410,32.29680634
1624958327,2947210,31.93856812
1624958329,2947910,31.31132507
1624958331,2948810,32.21524429
1624958346,2953810,31.08482742
1624958347,2954110,31.2353878
1624958353,2956210,31.92613411
1624958362,2959310,32.40807343
1624958368,2961210,31.71060562
1624958407,2974810,32.63113403
1624958430,2982910,31.70541191
1624958430,2983010,32.40978622
1624958440,2986410,32.14103699
1624958480,3000110,31.84038925
1624958481,3000610,32.0851593
1624958489,3003210,31.17515755
1624958502,3007810,31.74492455
1624958507,3009310,32.13342285
1624958530,3017510,32.31385803
1624958542,3021810,33.28521729
1624958550,3024410,31.27397537
1624958562,3028510,31.88528633
1624958574,3032810,32.48583984
1624958613,3046010,32.72592163
1624958615,3046710,33.04093933
1624958616,3047110,32.1800766
1624958646,3057310,33.31451797
1624958658,3061310,31.82286644
1624958684,3070710,33.05616379
1624958689,3072110,30.81852341
1624958694,3073910,30.5846405
1624958706,3078110,32.6797905
1624958786,3105310,31.3614254
1624958801,3110610,32.97513962
1624958835,3122510,32.23308945
1624958888,3140710,31.9592514
1624958899,3144410,33.21554565
1624958926,3153810,33.11952972
1624958972,3169710,31.73360443
1624958980,3172310,32.02742386
1624958992,3176310,32.35179901
1624959005,3180910,31.77891541
1624959024,3187410,32.94483948
1624959026,3188110,31.74318695
1624959028,3188910,33.65391159
1624959041,3193710,33.49051666
1624959044,3194610,32.13014221
1624959061,3200510,32.44949722
1624959065,3201810,32.23276138
1624959107,3216310,33.80549622
1624959110,3217510,32.96707916
1624959119,3220810,33.47377396
1624959131,3225010,31.26363754
1624959150,3231510,31.52577019
1624959171,3238910,32.76667023
1624959185,3243610,33.3357048
1624959204,3250110,32.59654236
1624959212,3253010,31.87553787
1624959216,3254310,31.76441765
1624959236,3261210,33.54258347
1624959237,3261510,33.74064636
1624959249,3265810,33.0005188
1624959263,3270710,34.40789795
1624959280,3276310,33.43212128
1624959318,3289510,32.79245377
1624959320,3290310,33.19540405
1624959322,3291010,32.86080933
1624959350,3300310,32.83725357
1624959353,3301510,33.33909607
1624959359,3303510,32.97153854
1624959391,3314910,33.44086456
1624959393,3315310,32.04286957
1624959400,3318010,32.97990417
1624959401,3318210,33.12265015
1624959427,3327210,33.0630455
1624959448,3334210,32.92409897
1624959455,3336910,32.89699173
1624959457,3337610,34.04743958
1624959458,3337910,34.13568878
1624959466,3340410,33.22841644
1624959504,3354010,34.35843277
1624959531,3363210,33.98826599
1624959533,3363910,33.10562897
1624959558,3372910,34.15707397
1624959561,3373810,33.70786667
1624959564,3375010,34.23434067
1624959570,3376910,33.46341705
1624959575,3378610,34.41033173
1624959591,3384010,32.83815002
1624959595,3385210,33.79774094
1624959602,3387710,33.71068192
1624959613,3391410,32.29250717
1624959630,3397210,33.68541718
1624959643,3401810,33.80881119
1624959648,3403710,33.37678146
1624959651,3404410,33.22179413
1624959664,3409010,34.41096115
1624959679,3414210,32.85548401
1624959680,3414510,33.10279846
1624959690,3418010,31.64966774
1624959727,3431010,33.34072113
1624959742,3436210,33.06618118
1624959743,3436310,33.07332993
1624959749,3438410,33.90524673
1624959764,3443910,33.36110687
1624959790,3452610,30.01075172
1624959790,3452710,29.84829521
1624959801,3456510,29.89488029
1624959811,3460010,32.6893158
1624959813,3460910,33.85970688
1624959825,3464810,32.06118011
1624959839,3469710,33.69784927
1624959855,3475210,33.462883
1624959864,3478410,30.97476959
1624959892,3487910,33.98426056
1624959936,3503110,34.0489006
1624959950,3508010,33.81112671
1624959961,3511610,33.96869659
1624959978,3517810,31.91615868
1624960001,3525510,33.6648674
1624960002,3525810,33.57518387
1624960024,3533410,33.99108887
1624960030,3535510,33.11669159
1624960032,3536310,33.02718353
1624960036,3537610,32.29261017
1624960036,3537810,32.44782639
1624960038,3538410,32.33086777
1624960066,3548210,29.52678108
1624960067,3548410,29.84425735
1624960093,3557110,33.55810928
1624960093,3557410,32.49934769
1624960101,3560110,35.29104614
1624960150,3577210,33.49773026
1624960152,3577910,33.91296005
1624960171,3584510,33.4887619
1624960172,3585010,34.09461212
1624960203,3595410,33.75136185
1624960208,3597110,33.81535721
1624960227,3603810,34.83065033
1624960233,3605810,33.85364151
1624960264,3616510,33.1544342
1624960279,3621710,34.47964096
1624960284,3623210,34.02894592
1624960288,3624710,32.83823013
1624960293,3626310,33.13386154
1624960296,3627610,32.77882767
1624960307,3631110,33.9213295
1624960312,3633010,33.2814827
1624960314,3633710,33.59596252
1624960382,3657010,33.85120773
1624960398,3663010,34.60950851
1624960407,3666010,33.52275848
1624960413,3667910,34.41719437
1624960438,3676810,34.06547165
1624960450,3680710,32.15044022
1624960451,3681110,31.1502285
1624960453,3682010,32.71241379
1624960455,3682610,33.49563599
1624960463,3685110,32.46374512
1624960479,3690810,33.9288826
1624960521,3705410,33.78679276
1624960555,3717010,32.43391418
1624960564,3720310,34.16811752
1624960596,3731210,32.85440063
1624960597,3731810,33.49617004
1624960600,3732710,34.06972122
1624960637,3745610,31.69108009
1624960647,3749010,31.30496407
1624960721,3774610,30.66295815
1624960727,3776510,31.19458199
1624960739,3780810,34.05873871
1624960759,3787710,33.42097473
1624960823,3809210,32.44446564
1624960853,3819310,32.72403717
1624960868,3824810,32.73895264
1624960873,3826310,29.69847679
1624960893,3833210,32.77236176
1624960902,3836610,33.34370041
1624960924,3844010,33.37364197
1624960928,3845610,33.82974625
1624960932,3846710,34.19664764
1624960942,3850110,33.25535202
1624960964,3858110,33.8237915
1624960982,3864210,33.66861725
1624960982,3864310,33.41381073
1624960999,3870110,31.67994499
1624961004,3872110,34.27353668
1624961017,3876410,34.0031662
1624961018,3876910,31.86303329
1624961039,3884110,31.17498016
1624961080,3898210,33.47398758
1624961086,3900510,33.51446152
1624961086,3900610,33.81718826
1624961126,3914210,33.21720886
1624961154,3923810,34.8219223
1624961171,3929710,32.88835526
