Wall time,Step,Value
1624952856.3360584,1156710,28.10434341430664
1624952876.519404,1164910,28.036569595336914
1624952882.3247993,1167210,27.141454696655273
1624952885.9527519,1168610,26.841880798339844
1624952904.3587,1176010,27.73801612854004
1624952932.3253546,1187410,26.79022979736328
1624952956.1076093,1197010,27.709800720214844
1624952957.463379,1197510,27.827777862548828
1624952966.204407,1201110,28.09701156616211
1624952973.7761912,1204210,28.03104019165039
1624952997.4894,1213910,27.971527099609375
1624953003.8074827,1216510,29.07273292541504
1624953004.809028,1216910,29.641571044921875
1624953008.7168503,1218510,27.632291793823242
1624953019.2426648,1222710,27.073307037353516
1624953035.0134726,1229110,26.65528678894043
1624953035.7481906,1229410,27.226179122924805
1624953039.6266267,1231010,28.81047248840332
1624953063.2754736,1240610,27.442058563232422
1624953076.4398227,1245910,26.710786819458008
1624953129.1425753,1267210,26.68486213684082
1624953136.1430016,1270010,26.941015243530273
1624953162.3231618,1280610,28.038646697998047
1624953179.9316945,1287810,27.359100341796875
1624953195.4921632,1294010,28.598270416259766
1624953214.5007994,1301810,28.770593643188477
1624953218.645374,1303510,26.919391632080078
1624953225.4043849,1306210,30.177955627441406
1624953230.5527747,1308310,27.9173526763916
1624953233.4880767,1309510,26.784950256347656
1624953237.1985314,1311010,28.592557907104492
1624953251.1091614,1316710,26.83902359008789
1624953269.2762487,1324010,26.35892105102539
1624953296.4261377,1335010,28.753833770751953
1624953309.4283788,1340310,28.6816463470459
1624953310.4114397,1340710,28.1227970123291
1624953334.7225718,1350510,27.698833465576172
1624953344.9330354,1354710,28.228490829467773
1624953357.5332992,1359810,27.373106002807617
1624953363.2484133,1362110,27.123109817504883
1624953377.8796937,1368010,29.09917640686035
1624953378.623901,1368310,28.63408088684082
1624953401.752107,1377710,28.893705368041992
1624953410.0618184,1381110,28.7429256439209
1624953418.562086,1384610,30.05868148803711
1624953428.2541323,1388510,28.482236862182617
1624953451.058473,1397710,28.367822647094727
1624953456.6007838,1399910,28.99981689453125
1624953476.6743028,1408110,25.964603424072266
1624953511.9347887,1422210,27.365142822265625
1624953528.1890762,1428810,27.47921371459961
1624953529.890663,1429510,27.597043991088867
1624953532.1101103,1430410,29.948261260986328
1624953536.3138163,1432110,28.075212478637695
1624953540.6898115,1433910,25.835819244384766
1624953555.3245268,1439810,25.51346206665039
1624953567.6881835,1444810,27.128067016601562
1624953579.1174166,1449510,26.435537338256836
1624953594.9066968,1455810,29.668973922729492
1624953613.3189752,1463310,27.892534255981445
1624953614.7698896,1463910,26.020788192749023
1624953622.31116,1466910,29.36834716796875
1624953624.498588,1467810,26.458688735961914
1624953626.9480004,1468810,27.88441276550293
1624953649.5392277,1478010,27.14235496520996
1624953651.9110525,1478910,26.642921447753906
1624953652.8872561,1479310,26.89690589904785
1624953657.0230558,1481010,28.921627044677734
1624953672.6445765,1487410,29.301387786865234
1624953677.6456616,1489310,29.86272621154785
1624953710.9174702,1502810,29.712013244628906
1624953726.389078,1509110,26.78900146484375
1624953737.7991846,1513710,28.225831985473633
1624953748.5981946,1518110,27.31486701965332
1624953769.635426,1526710,26.75486946105957
1624953784.17947,1532510,28.7860164642334
